Well Name, Basin, Subbasin, Latitude (NAD27), Longitude (NAD27), Northing (NAD27), Easting (NAD27), Latitude (NAD83), Longitude (NAD83), Northing (NAD83), Easting (NAD83), Zone (UTM)
HESPER P-52, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.69749, -57.87992, 4949506, 430283, 44.697531, -57.879108, 4949727, 430349, 21
HURON P-96, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.5964, -58.48075, 4938967, 382474, 44.59645, -58.479942, 4939188, 382542, 21
INTREPID L-80, SCOTIAN BASIN, SABLE SUBBASIN, 43.82661, -59.94551, 4856617, 263148, 43.826675, -59.944742, 4856838, 263217, 21
IROQUOIS J-17, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.44203, -59.78677, 4924531, 278230, 44.442092, -59.785997, 4924753, 278299, 21
JASON C-20, SCOTIAN BASIN, ORPHEUS GRABEN, 45.48485, -58.54119, 5037751, 379556, 45.484881, -58.540408, 5037971, 379621, 21
KEGESHOOK G-67, SCOTIAN BASIN, LAHAVE PLATFORM, 44.10803, -60.4087, 4886921, 707386, 44.108097, -60.407939, 4887146, 707441, 20
LAWRENCE D-14, SCOTIAN BASIN, LAHAVE PLATFORM, 43.88467, -60.54774, 4861771, 696996, 43.884739, -60.546986, 4861996, 697051, 20
LOUISBOURG J-47, SCOTIAN BASIN, SABLE SUBBASIN, 44.4453, -58.35723, 4922012, 391999, 44.44535, -58.356414, 4922234, 392067, 21
MARCOH D-41, SCOTIAN BASIN, LAHAVE PLATFORM, 43.835966, -60.622657, 4856185, 691134, 43.836039, -60.621911, 4856411, 691188, 20
MARGAREE E-70, SCOTIAN BASIN, LAHAVE PLATFORM, , , , , 43.821446, -60.671529, 4854677, 687244, 20
MARGAREE F-70, SCOTIAN BASIN, LAHAVE PLATFORM, 43.823461, -60.665236, 4854699, 687749, 43.823534, -60.664492, 4854925, 687804, 20
MARINER I-85, SCOTIAN BASIN, SABLE SUBBASIN, 44.075204, -59.702, 4883560, 283634, 44.075269, -59.701223, 4883781, 283703, 21
MARMORA C-34, SCOTIAN BASIN, SABLE SUBBASIN, 43.7205, -60.08942, 4844732, 734457, 43.720567, -60.088664, 4844957, 734511, 20
MARMORA P-35, SCOTIAN BASIN, SABLE SUBBASIN, 43.74982, -60.07988, 4848015, 735111, 43.749892, -60.079122, 4848241, 735165, 20
MARQUIS L-35, SCOTIAN BASIN, ?, 44.077139, -60.347984, 4883644, 712356, 44.077208, -60.347226, 4883870, 712410, 20
MARQUIS L-35A, SCOTIAN BASIN, ?, 44.077139, -60.347984, 4883644, 712356, 44.077208, -60.347226, 4883870, 712410, 20
MERIGOMISH C-52, SCOTIAN BASIN, SABLE SUBBASIN, 43.51739, -60.64269, 4820757, 690529, 43.517464, -60.641953, 4820982, 690583, 20
MIC MAC D-89, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.6358, -59.47192, 4945249, 303938, 44.63585, -59.47115, 4945470, 304005, 21
MIC MAC H-86, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.59135, -59.45069, 4940261, 305473, 44.591408, -59.449908, 4940482, 305541, 21
MIC MAC J-77, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.61189, -59.43636, 4942508, 306679, 44.611944, -59.435583, 4942729, 306747, 21
MIGRANT N-20, SCOTIAN BASIN, SABLE SUBBASIN, 43.99892, -60.2884, 4875112, 717413, 43.998994, -60.287644, 4875338, 717467, 20
MISSISAUGA H-54, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.38883, -59.37989, 4917599, 310438, 44.388892, -59.379103, 4917821, 310507, 21
MOHAWK B-93, SCOTIAN BASIN, LAHAVE PLATFORM, 42.70298, -64.7314, 4729071, 358193, 42.703067, -64.730753, 4729294, 358250, 20
MOHEIDA P-15, SCOTIAN BASIN, LAHAVE PLATFORM, 43.08231, -62.27898, 4769992, 558692, 43.082386, -62.278267, 4770216, 558749, 20
MOHICAN I-100, SCOTIAN BASIN, LAHAVE PLATFORM, 42.99418, -62.48092, 4760084, 542315, 42.994253, -62.480211, 4760308, 542371, 20
MONTAGNAIS I-94, SCOTIAN BASIN, LAHAVE PLATFORM, 42.89449, -64.2294, 4749616, 399619, 42.894575, -64.228736, 4749840, 399676, 20
MUSQUODOBOIT E-23, SCOTIAN BASIN, LAHAVE PLATFORM, 43.704396, -60.819443, 4841136, 675697, 43.704471, -60.818704, 4841362, 675751, 20
NASKAPI N-30, SCOTIAN BASIN, LAHAVE PLATFORM, 43.49619, -62.56684, 4815794, 535022, 43.496261, -62.566139, 4816018, 535077, 20
NORTH BANQUEREAU I-13, SCOTIAN BASIN, SABLE SUBBASIN, 44.20921, -58.53038, 4896032, 377731, 44.209267, -58.529569, 4896254, 377800, 21
NORTH TRIUMPH 1, SCOTIAN BASIN, SABLE SUBBASIN, 43.699529, -59.85524, 4842248, 269921, 43.699599, -59.854473, 4842469, 269989, 21
NORTH TRIUMPH 2, SCOTIAN BASIN, SABLE SUBBASIN, 43.699496, -59.855274, 4842244, 269918, 43.699566, -59.854507, 4842465, 269986, 21
NORTH TRIUMPH B-52, SCOTIAN BASIN, SABLE SUBBASIN, 43.68401, -59.88251, 4840600, 267663, 43.684081, -59.881744, 4840821, 267732, 21
NORTH TRIUMPH G-43, SCOTIAN BASIN, SABLE SUBBASIN, 43.7053, -59.8564, 4842892, 269849, 43.705364, -59.855631, 4843112, 269918, 21
OJIBWA E-07, SCOTIAN BASIN, LAHAVE PLATFORM, 43.77214, -61.76959, 4847085, 599027, 43.772217, -61.768872, 4847310, 599082, 20
OLYMPIA A-12, SCOTIAN BASIN, SABLE SUBBASIN, 44.01757, -59.77892, 4877363, 277259, 44.017642, -59.778142, 4877585, 277328, 21
ONEIDA O-25, SCOTIAN BASIN, LAHAVE PLATFORM, 43.2493, -61.5601, 4789291, 616892, 43.249381, -61.559375, 4789516, 616948, 20
ONONDAGA B-84, SCOTIAN BASIN, SABLE SUBBASIN, 43.719142, -60.211528, 4844243, 724626, 43.719214, -60.210769, 4844469, 724680, 20
ONONDAGA B-96, SCOTIAN BASIN, SABLE SUBBASIN, 43.75203, -60.2343, 4847834, 722669, 43.7521, -60.233547, 4848060, 722723, 20
ONONDAGA E-84, SCOTIAN BASIN, SABLE SUBBASIN, 43.72115, -60.22144, 4844439, 723820, 43.721222, -60.220683, 4844665, 723874, 20
ONONDAGA F-75, SCOTIAN BASIN, SABLE SUBBASIN, 43.73866, -60.19262, 4846462, 726075, 43.738731, -60.191867, 4846688, 726129, 20
ONONDAGA O-95, SCOTIAN BASIN, SABLE SUBBASIN, 43.74669, -60.2313, 4847249, 722931, 43.746764, -60.230544, 4847475, 722985, 20
PANUKE B-90, SCOTIAN BASIN, LAHAVE PLATFORM, 43.81997, -60.70961, 4854211, 684192, 43.820044, -60.708867, 4854437, 684246, 20
PANUKE F-09, SCOTIAN BASIN, LAHAVE PLATFORM, 43.806242, -60.76601, 4852563, 679697, 43.806316, -60.765269, 4852788, 679751, 20
PANUKE F-99, SCOTIAN BASIN, LAHAVE PLATFORM, 43.80692, -60.74278, 4852689, 681564, 43.806992, -60.742039, 4852914, 681618, 20
PANUKE H-08, SCOTIAN BASIN, LAHAVE PLATFORM, 43.789225, -60.755536, 4850695, 680591, 43.789299, -60.754795, 4850921, 680645, 20
PANUKE M-79, SCOTIAN BASIN, LAHAVE PLATFORM, 43.813558, -60.696506, 4853529, 685265, 43.813632, -60.695762, 4853754, 685320, 20
PANUKE M-79A, SCOTIAN BASIN, LAHAVE PLATFORM, 43.813558, -60.696506, 4853529, 685265, 43.813632, -60.695762, 4853754, 685320, 20
PANUKE PI1 J-99, SCOTIAN BASIN, LAHAVE PLATFORM, 43.81116, -60.73342, 4853180, 682304, 43.811242, -60.732675, 4853407, 682358, 20
PANUKE PI1A J-99, SCOTIAN BASIN, LAHAVE PLATFORM, 43.811164, -60.733369, 4853181, 682308, 43.811238, -60.732627, 4853406, 682362, 20
PANUKE PI1B J-99, SCOTIAN BASIN, LAHAVE PLATFORM, 43.811164, -60.733369, 4853181, 682308, 43.811238, -60.732627, 4853406, 682362, 20
PANUKE PP1 J-99, SCOTIAN BASIN, LAHAVE PLATFORM, 43.81116, -60.73339, 4853180, 682306, 43.811236, -60.732647, 4853406, 682360, 20
PANUKE PP2 J-99, SCOTIAN BASIN, LAHAVE PLATFORM, 43.81116, -60.73341, 4853180, 682305, 43.811242, -60.732664, 4853407, 682359, 20
PANUKE PP3 J-99, SCOTIAN BASIN, LAHAVE PLATFORM, 43.81118, -60.73339, 4853182, 682306, 43.81125, -60.732644, 4853408, 682361, 20
PANUKE PP3A J-99, SCOTIAN BASIN, LAHAVE PLATFORM, 43.808416, -60.733537, 4852875, 682303, 43.80849, -60.732795, 4853101, 682357, 20
PANUKE PP3B J-99, SCOTIAN BASIN, LAHAVE PLATFORM, 43.808416, -60.733537, 4852875, 682303, 43.80849, -60.732795, 4853101, 682357, 20
PANUKE PP3C J-99, SCOTIAN BASIN, LAHAVE PLATFORM, 43.811175, -60.733386, 4853182, 682306, 43.811249, -60.732644, 4853408, 682361, 20
PANUKE PP4 J-99, SCOTIAN BASIN, LAHAVE PLATFORM, 43.81115, -60.73338, 4853179, 682307, 43.811225, -60.732639, 4853405, 682361, 20
PANUKE PP4A J-99, SCOTIAN BASIN, LAHAVE PLATFORM, 43.81115, -60.73338, 4853179, 682307, 43.811225, -60.732639, 4853405, 682361, 20
PANUKE PP4B J-99, SCOTIAN BASIN, LAHAVE PLATFORM, 43.81115, -60.73338, 4853179, 682307, 43.811225, -60.732639, 4853405, 682361, 20
PANUKE PP4C J-99, SCOTIAN BASIN, LAHAVE PLATFORM, 43.81115, -60.73338, 4853179, 682307, 43.811225, -60.732639, 4853405, 682361, 20
PENOBSCOT B-41, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.1673, -60.10959, 4894302, 731094, 44.167364, -60.108825, 4894527, 731148, 20
PENOBSCOT L-30, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.1621, -60.06926, 4893838, 734339, 44.162167, -60.068494, 4894064, 734393, 20
PESKOWESK A-99, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.47051, -58.97805, 4925820, 342665, 44.470567, -58.977256, 4926041, 342733, 21
PRIMROSE 1A A-41, SCOTIAN BASIN, SABLE SUBBASIN, 44.00167, -59.10389, 4873994, 331321, 44.001728, -59.103094, 4874215, 331390, 21
PRIMROSE A-41, SCOTIAN BASIN, SABLE SUBBASIN, 44.00167, -59.10389, 4873994, 331321, 44.001728, -59.103094, 4874215, 331390, 21
PRIMROSE F-41, SCOTIAN BASIN, SABLE SUBBASIN, 44.00821, -59.11848, 4874750, 330170, 44.008269, -59.117683, 4874971, 330239, 21
PRIMROSE N-50, SCOTIAN BASIN, SABLE SUBBASIN, 43.99678, -59.11434, 4873472, 330469, 43.996847, -59.113547, 4873694, 330538, 21
QUEENSLAND M-88, SCOTIAN BASIN, LAHAVE PLATFORM, 43.798683, -60.719775, 4851825, 683439, 43.798757, -60.719032, 4852050, 683494, 20
SABLE ISLAND 2H-58, SCOTIAN BASIN, SABLE SUBBASIN, 43.95755, -60.12717, 4870955, 730501, 43.957617, -60.126406, 4871180, 730555, 20
SABLE ISLAND 3H-58, SCOTIAN BASIN, SABLE SUBBASIN, 43.95755, -60.12717, 4870955, 730501, 43.957617, -60.126406, 4871180, 730555, 20
SABLE ISLAND 4H-58, SCOTIAN BASIN, SABLE SUBBASIN, 43.95755, -60.12717, 4870955, 730501, 43.957617, -60.126406, 4871180, 730555, 20
SABLE ISLAND 5H-58, SCOTIAN BASIN, SABLE SUBBASIN, 43.95755, -60.12717, 4870955, 730501, 43.957617, -60.126406, 4871180, 730555, 20
SABLE ISLAND 6H-58, SCOTIAN BASIN, SABLE SUBBASIN, 43.95755, -60.12717, 4870955, 730501, 43.957617, -60.126406, 4871180, 730555, 20
SABLE ISLAND C-67, SCOTIAN BASIN, SABLE SUBBASIN, 43.9347, -59.91705, 4868541, 265861, 43.934764, -59.916281, 4868762, 265930, 21
SABLE ISLAND E-48, SCOTIAN BASIN, SABLE SUBBASIN, 43.9557, -60.12331, 4870760, 730818, 43.955764, -60.122542, 4870985, 730873, 20
SABLE ISLAND H-58 & 1A H-58, SCOTIAN BASIN, SABLE SUBBASIN, 43.95755, -60.12717, 4870955, 730501, 43.957617, -60.126406, 4871180, 730555, 20
SABLE ISLAND O-47, SCOTIAN BASIN, SABLE SUBBASIN, 43.9486, -60.11061, 4870007, 731865, 43.948669, -60.109842, 4870233, 731919, 20
SACHEM D-76, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.58592, -57.69955, 4936974, 444467, 44.585967, -57.698736, 4937196, 444534, 21
SAMBRO I-29, SCOTIAN BASIN, LAHAVE PLATFORM, 43.64307, -62.80473, 4832033, 515750, 43.643142, -62.804036, 4832257, 515805, 20
SAUK A-57, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.26844, -58.62993, 4902764, 369908, 44.2685, -58.629122, 4902986, 369977, 21
SOUTH DESBARRES O-76, SCOTIAN BASIN, SABLE SUBBASIN, 44.0989, -59.93306, 4886825, 265225, 44.098972, -59.932289, 4887047, 265294, 21
SOUTH GRIFFIN J-13, SCOTIAN BASIN, SABLE SUBBASIN, 44.37716, -58.03188, 4914066, 417793, 44.377211, -58.031058, 4914287, 417861, 21
SOUTH SABLE B-44, SCOTIAN BASIN, SABLE SUBBASIN, 43.88515, -59.86169, 4862882, 270114, 43.885222, -59.860922, 4863104, 270183, 21
SOUTH VENTURE 1, SCOTIAN BASIN, SABLE SUBBASIN, 43.997329, -59.628164, 4874718, 289271, 43.997397, -59.627397, 4874940, 289339, 21
SOUTH VENTURE 2, SCOTIAN BASIN, SABLE SUBBASIN, 43.997325, -59.628203, 4874718, 289268, 43.99739, -59.627425, 4874939, 289337, 21
SOUTH VENTURE 3, SCOTIAN BASIN, SABLE SUBBASIN, 43.997325, -59.628203, 4874718, 289268, 43.99739, -59.627425, 4874939, 289337, 21
SOUTH VENTURE O-59, SCOTIAN BASIN, SABLE SUBBASIN, 43.98134, -59.63569, 4872962, 288611, 43.981406, -59.634914, 4873183, 288679, 21
SOUTHAMPTON A-25, SCOTIAN BASIN, SABLE SUBBASIN, 43.569349, -60.304631, 4827358, 717666, 43.569422, -60.303878, 4827583, 717720, 20
SOUTHWEST BANQUEREAU F-34, SCOTIAN BASIN, SABLE SUBBASIN, 44.05434, -58.83933, 4879337, 352663, 44.054397, -58.838531, 4879558, 352731, 21
THEBAUD 1, SCOTIAN BASIN, SABLE SUBBASIN, 43.89117, -60.199911, 4863381, 724915, 43.891239, -60.199152, 4863607, 724969, 20
THEBAUD 2, SCOTIAN BASIN, SABLE SUBBASIN, 43.891132, -60.199916, 4863377, 724914, 43.891202, -60.199157, 4863603, 724969, 20
THEBAUD 3, SCOTIAN BASIN, SABLE SUBBASIN, 43.891144, -60.199978, 4863378, 724909, 43.891214, -60.199222, 4863604, 724963, 20
THEBAUD 4, SCOTIAN BASIN, SABLE SUBBASIN, 43.891144, -60.199978, 4863378, 724909, 43.891214, -60.199222, 4863604, 724963, 20
THEBAUD 5, SCOTIAN BASIN, SABLE SUBBASIN, 43.891188, -60.199935, 4863383, 724913, 43.891258, -60.199176, 4863609, 724967, 20
THEBAUD 6, SCOTIAN BASIN, SABLE SUBBASIN, 43.891151, -60.19994, 4863379, 724912, 43.89122, -60.19918, 4863605, 724967, 20
THEBAUD C-74, SCOTIAN BASIN, SABLE SUBBASIN, 43.88482, -60.19323, 4862694, 725475, 43.884886, -60.192469, 4862919, 725530, 20
THEBAUD I-93, SCOTIAN BASIN, SABLE SUBBASIN, 43.87904, -60.23082, 4861950, 722477, 43.879108, -60.230058, 4862176, 722532, 20
THEBAUD I-94, SCOTIAN BASIN, SABLE SUBBASIN, 43.89546, -60.22726, 4863784, 722702, 43.895533, -60.2265, 4864010, 722756, 20
THEBAUD P-84, SCOTIAN BASIN, SABLE SUBBASIN, 43.89987, -60.20537, 4864333, 724443, 43.899939, -60.204614, 4864558, 724497, 20
TRIUMPH P-50, SCOTIAN BASIN, SABLE SUBBASIN, 43.66434, -59.85065, 4838327, 270156, 43.664408, -59.849889, 4838548, 270224, 21
TUSCARORA D-61, SCOTIAN BASIN, ABENAKI SUBBASIN, 44.66954, -58.91968, 4947817, 347828, 44.669592, -58.918892, 4948038, 347895, 21
