,Unnamed: 0,Facies,Formation,Well Name,Depth,GR,DeltaPHI,PHIND,ILD,PE,NM_M,RELPOS
73,73,6,A1 LM,SHRIMPLIN,2829.5,93.82,5.8,6.64,103.75284158180126,5.6,2,0.407
74,74,6,A1 LM,SHRIMPLIN,2830.0,61.63,3.6,6.865,132.43415351946643,6.1,2,0.37
75,75,6,A1 LM,SHRIMPLIN,2830.5,45.98,3.6,6.25,141.90575216890912,6.2,2,0.35200000000000004
76,76,6,A1 LM,SHRIMPLIN,2831.0,32.76,3.0,6.225,138.67558288718882,5.8,2,0.333
77,77,6,A1 LM,SHRIMPLIN,2831.5,37.82,3.6,6.19,130.61708881318418,5.7,2,0.315
78,78,6,A1 LM,SHRIMPLIN,2832.0,40.73,2.3,6.375,119.1242008027375,5.5,2,0.29600000000000004
79,79,6,A1 LM,SHRIMPLIN,2832.5,33.42,2.2,6.61,102.32929922807536,5.4,2,0.278
80,80,6,A1 LM,SHRIMPLIN,2833.0,32.08,2.2,7.355,86.29785477669702,5.3,2,0.259
81,81,6,A1 LM,SHRIMPLIN,2833.5,33.82,2.1,8.33,76.91304402866095,4.9,2,0.241
82,82,6,A1 LM,SHRIMPLIN,2834.0,45.57,1.1,8.84,70.46930689671471,4.7,2,0.222
83,83,6,A1 LM,SHRIMPLIN,2834.5,53.95,1.9,8.125,63.095734448019364,4.6,2,0.204
84,84,6,A1 LM,SHRIMPLIN,2835.0,59.42,4.3,7.845,56.23413251903491,4.6,2,0.185
85,85,6,A1 LM,SHRIMPLIN,2835.5,68.43,8.3,8.665,51.05049999754065,4.8,2,0.16699999999999998
86,86,6,A1 LM,SHRIMPLIN,2836.0,75.88,11.0,10.04,49.888448746001245,4.6,2,0.14800000000000002
87,87,6,A1 LM,SHRIMPLIN,2836.5,77.75,11.3,10.85,53.456435939697194,4.7,2,0.13
88,88,6,A1 LM,SHRIMPLIN,2837.0,80.93,9.6,9.815,65.16283940608427,4.6,2,0.111
89,89,6,A1 LM,SHRIMPLIN,2837.5,72.92,7.3,7.475,73.11390834834177,4.7,2,0.093
90,90,6,A1 LM,SHRIMPLIN,2838.0,65.59,5.7,5.265,69.18309709189366,5.0,2,0.07400000000000001
91,91,6,A1 LM,SHRIMPLIN,2838.5,64.71,3.6,4.045,59.15616341754737,5.4,2,0.056
92,92,6,A1 LM,SHRIMPLIN,2839.0,60.79,2.9,4.36,45.498806015004874,5.5,2,0.037000000000000005
93,93,6,A1 LM,SHRIMPLIN,2839.5,78.55,2.0,9.795,32.210687912834345,5.7,2,0.019
94,94,3,B1 SH,SHRIMPLIN,2840.0,107.77,1.8,19.545,26.668586645214795,4.0,1,1.0
95,95,3,B1 SH,SHRIMPLIN,2840.5,110.87,6.0,26.65,23.55049283896009,3.3,1,0.974
96,96,3,B1 SH,SHRIMPLIN,2841.0,106.33,8.6,26.94,21.379620895022324,2.8,1,0.949
97,97,3,B1 SH,SHRIMPLIN,2841.5,87.85,9.6,21.77,19.054607179632473,2.7,1,0.923
98,98,3,B1 SH,SHRIMPLIN,2842.0,80.96,9.0,15.99,15.922087270511692,2.9,1,0.897
99,99,2,B1 SH,SHRIMPLIN,2842.5,66.94,11.2,12.565,13.677288255958494,3.5,1,0.872
100,100,2,B1 SH,SHRIMPLIN,2843.0,61.48,12.0,11.69,13.243415351946657,4.2,1,0.846
101,101,2,B1 SH,SHRIMPLIN,2843.5,58.26,12.4,12.285,13.677288255958494,4.2,1,0.821
102,102,2,B1 SH,SHRIMPLIN,2844.0,51.31,12.7,11.735,14.791083881682072,3.9,1,0.795
103,103,2,B1 SH,SHRIMPLIN,2844.5,67.92,13.2,11.73,14.655478409559105,3.9,1,0.769
104,104,2,B1 SH,SHRIMPLIN,2845.0,67.77,14.1,12.475,13.551894123510364,3.9,1,0.7440000000000001
105,105,2,B1 SH,SHRIMPLIN,2845.5,67.73,14.4,13.095,12.189895989248662,3.8,1,0.718
106,106,2,B1 SH,SHRIMPLIN,2846.0,68.85,12.1,13.35,10.76465213629835,3.7,1,0.6920000000000001
107,107,2,B1 SH,SHRIMPLIN,2846.5,73.2,9.7,15.12,9.817479430199844,3.6,1,0.667
108,108,3,B1 SH,SHRIMPLIN,2847.0,84.46,6.1,20.48,9.375620069258797,3.6,1,0.6409999999999999
109,109,3,B1 SH,SHRIMPLIN,2847.5,96.96,7.0,23.225,9.246981739382225,3.4,1,0.615
110,110,3,B1 SH,SHRIMPLIN,2848.0,95.54,9.4,21.305,9.375620069258797,3.5,1,0.59
111,111,3,B1 SH,SHRIMPLIN,2848.5,88.67,13.2,17.235,9.68277856261249,3.4,1,0.564
112,112,3,B1 SH,SHRIMPLIN,2849.0,88.54,13.1,16.71,10.046157902783957,3.5,1,0.5379999999999999
113,113,3,B1 SH,SHRIMPLIN,2849.5,92.22,11.2,18.675,10.046157902783957,3.5,1,0.513
114,114,2,B1 SH,SHRIMPLIN,2850.0,89.67,4.9,20.405,9.594006315159332,3.3,1,0.487
115,115,2,B1 SH,SHRIMPLIN,2850.5,91.17,2.2,20.3,8.709635899560805,3.1,1,0.462
116,116,2,B1 SH,SHRIMPLIN,2851.0,83.62,5.1,17.16,7.413102413009175,2.8,1,0.436
117,117,2,B1 SH,SHRIMPLIN,2851.5,85.0,8.3,15.87,6.338697112569274,2.8,1,0.41
118,118,2,B1 SH,SHRIMPLIN,2852.0,77.7,7.5,16.85,5.520774392807576,2.9,1,0.385
119,119,2,B1 SH,SHRIMPLIN,2852.5,74.29,6.1,17.3,4.6558609352295885,2.9,1,0.359
120,120,2,B1 SH,SHRIMPLIN,2853.0,70.21,5.4,17.57,4.111497211045222,2.9,1,0.333
121,121,2,B1 SH,SHRIMPLIN,2853.5,76.38,4.7,17.195,3.9264493539959973,3.0,1,0.308
122,122,2,B1 SH,SHRIMPLIN,2854.0,76.28,4.4,16.415,3.9994474976109746,3.0,1,0.282
123,123,2,B1 SH,SHRIMPLIN,2854.5,69.04,4.1,14.19,4.246195639463128,3.2,1,0.256
124,124,2,B1 SH,SHRIMPLIN,2855.0,78.11,5.8,13.25,4.7424198526024455,3.4,1,0.231
125,125,3,B1 SH,SHRIMPLIN,2855.5,84.18,6.8,15.72,5.675446054085471,3.8,1,0.205
126,126,3,B1 SH,SHRIMPLIN,2856.0,85.85,6.6,20.045,7.177942912713615,3.5,1,0.179
127,127,3,B1 SH,SHRIMPLIN,2856.5,89.6,4.4,20.455,8.709635899560805,3.3,1,0.154
128,128,3,B1 SH,SHRIMPLIN,2857.0,80.61,3.6,16.78,10.423174293933041,3.1,1,0.128
129,129,3,B1 SH,SHRIMPLIN,2857.5,79.36,7.5,11.78,11.967405313072444,3.3,1,0.103
130,130,3,B1 SH,SHRIMPLIN,2858.0,83.05,8.1,14.545,12.473835142429426,3.7,1,0.077
131,131,3,B1 SH,SHRIMPLIN,2858.5,95.0,9.2,23.83,12.941958414499863,3.6,1,0.051
132,132,5,B1 LM,SHRIMPLIN,2859.0,85.04,6.4,26.67,18.113400926196025,3.1,2,1.0
133,133,5,B1 LM,SHRIMPLIN,2859.5,46.18,4.3,16.61,21.67704104819694,3.1,2,0.944
134,134,5,B1 LM,SHRIMPLIN,2860.0,34.53,4.9,8.22,25.468302525850405,3.5,2,0.889
135,135,5,B1 LM,SHRIMPLIN,2860.5,35.19,7.9,4.71,30.760968147407095,4.6,2,0.833
136,136,8,B1 LM,SHRIMPLIN,2861.0,27.85,7.8,4.24,40.36453929676048,4.8,2,0.778
137,137,8,B1 LM,SHRIMPLIN,2861.5,23.48,6.0,4.22,66.98846094165262,4.7,2,0.722
138,138,8,B1 LM,SHRIMPLIN,2862.0,20.42,5.0,3.785,115.34532578210919,4.6,2,0.667
139,139,8,B1 LM,SHRIMPLIN,2862.5,20.55,4.1,3.145,196.7886289706845,5.1,2,0.611
140,140,8,B1 LM,SHRIMPLIN,2863.0,19.99,4.7,2.195,383.70724549227845,5.4,2,0.556
141,141,8,B1 LM,SHRIMPLIN,2863.5,21.18,5.2,1.59,645.6542290346556,5.9,2,0.5
142,142,8,B1 LM,SHRIMPLIN,2864.0,18.63,4.7,1.755,801.678063387679,6.1,2,0.444
143,143,6,B1 LM,SHRIMPLIN,2864.5,29.41,4.2,2.36,851.1380382023768,6.0,2,0.389
144,144,6,B1 LM,SHRIMPLIN,2865.0,43.09,3.1,3.11,912.0108393559096,5.8,2,0.333
145,145,6,B1 LM,SHRIMPLIN,2865.5,48.95,4.2,2.95,907.8205301781861,5.6,2,0.278
146,146,6,B1 LM,SHRIMPLIN,2866.0,45.84,4.1,3.03,748.1695005111537,5.6,2,0.222
147,147,6,B1 LM,SHRIMPLIN,2866.5,45.04,4.2,3.02,524.8074602497728,5.7,2,0.16699999999999998
148,148,6,B1 LM,SHRIMPLIN,2867.0,42.92,3.6,3.445,314.77483141013175,5.7,2,0.111
149,149,6,B1 LM,SHRIMPLIN,2867.5,53.11,3.3,4.095,161.4358556826487,5.9,2,0.056
150,150,3,B2 SH,SHRIMPLIN,2868.0,67.55,4.2,5.13,85.50667128846833,5.1,1,1.0
151,151,3,B2 SH,SHRIMPLIN,2868.5,73.99,6.1,7.84,52.966344389165755,4.6,1,0.964
152,152,3,B2 SH,SHRIMPLIN,2869.0,83.09,9.4,11.2,40.92606597300107,3.9,1,0.929
153,153,3,B2 SH,SHRIMPLIN,2869.5,97.28,10.5,13.97,33.573761424295455,3.6,1,0.893
154,154,2,B2 SH,SHRIMPLIN,2870.0,95.16,9.6,12.96,26.791683248190328,3.4,1,0.857
155,155,2,B2 SH,SHRIMPLIN,2870.5,79.88,8.6,10.425,20.989398836235235,3.3,1,0.821
156,156,2,B2 SH,SHRIMPLIN,2871.0,76.38,8.9,8.785,15.995580286146687,3.5,1,0.7859999999999999
157,157,2,B2 SH,SHRIMPLIN,2871.5,75.68,11.4,10.305,13.243415351946657,3.6,1,0.75
158,158,2,B2 SH,SHRIMPLIN,2872.0,84.59,13.4,13.745,11.857687481671602,3.9,1,0.7140000000000001
159,159,3,B2 SH,SHRIMPLIN,2872.5,103.43,14.6,16.66,11.220184543019636,3.9,1,0.679
160,160,3,B2 SH,SHRIMPLIN,2873.0,103.41,14.7,17.625,11.066237839776663,3.9,1,0.643
161,161,3,B2 SH,SHRIMPLIN,2873.5,99.27,13.0,16.245,10.964781961431852,3.8,1,0.607
162,162,3,B2 SH,SHRIMPLIN,2874.0,92.94,12.1,14.85,10.76465213629835,3.7,1,0.5710000000000001
163,163,3,B2 SH,SHRIMPLIN,2874.5,92.9,11.4,13.27,10.32761405761397,3.8,1,0.536
164,164,3,B2 SH,SHRIMPLIN,2875.0,80.32,11.0,12.48,10.18591388054117,3.7,1,0.5
165,165,2,B2 SH,SHRIMPLIN,2875.5,83.63,10.1,11.525,10.568175092136585,4.0,1,0.464
166,166,2,B2 SH,SHRIMPLIN,2876.0,67.81,9.4,11.31,11.428783347897712,4.1,1,0.429
167,167,2,B2 SH,SHRIMPLIN,2876.5,67.88,9.7,10.865,13.121998990192028,4.3,1,0.393
168,168,2,B2 SH,SHRIMPLIN,2877.0,64.39,8.4,10.365,15.06607066186741,4.4,1,0.35700000000000004
169,169,2,B2 SH,SHRIMPLIN,2877.5,61.99,6.9,9.385,16.14358556826486,4.4,1,0.321
170,170,2,B2 SH,SHRIMPLIN,2878.0,62.5,5.5,8.53,16.14358556826486,4.3,1,0.28600000000000003
171,171,2,B2 SH,SHRIMPLIN,2878.5,58.64,5.3,8.6,14.45439770745928,4.2,1,0.25
172,172,2,B2 SH,SHRIMPLIN,2879.0,64.04,5.7,9.98,12.189895989248662,4.0,1,0.214
173,173,2,B2 SH,SHRIMPLIN,2879.5,78.8,5.4,13.745,10.914403364487566,3.7,1,0.179
174,174,3,B2 SH,SHRIMPLIN,2880.0,78.88,2.0,21.885,10.092528860766844,3.7,1,0.14300000000000002
175,175,3,B2 SH,SHRIMPLIN,2880.5,86.88,-3.8,33.79,10.0,3.2,1,0.107
176,176,3,B2 SH,SHRIMPLIN,2881.0,83.97,-2.0,37.47,10.914403364487566,3.0,1,0.071
177,177,3,B2 SH,SHRIMPLIN,2881.5,70.01,-4.3,31.57,12.189895989248662,2.8,1,0.036000000000000004
178,178,7,B2 LM,SHRIMPLIN,2882.0,50.7,1.6,16.04,13.614446824659511,2.9,2,1.0
179,179,7,B2 LM,SHRIMPLIN,2882.5,30.81,1.9,5.725,15.922087270511692,3.6,2,0.938
180,180,7,B2 LM,SHRIMPLIN,2883.0,17.35,4.2,2.73,20.511621788255646,5.0,2,0.875
181,181,8,B2 LM,SHRIMPLIN,2883.5,17.55,4.7,2.925,31.18889584093937,5.8,2,0.813
182,182,8,B2 LM,SHRIMPLIN,2884.0,18.19,5.6,3.285,51.28613839913648,6.2,2,0.75
183,183,8,B2 LM,SHRIMPLIN,2884.5,17.08,5.4,3.99,92.04495717531712,6.3,2,0.688
184,184,8,B2 LM,SHRIMPLIN,2885.0,15.88,5.5,4.34,163.68165214278085,6.2,2,0.625
185,185,8,B2 LM,SHRIMPLIN,2885.5,20.38,5.0,4.645,218.77616239495518,5.9,2,0.563
186,186,8,B2 LM,SHRIMPLIN,2886.0,24.93,5.1,4.77,221.81964198002194,5.8,2,0.5
187,187,8,B2 LM,SHRIMPLIN,2886.5,28.57,4.5,4.725,199.52623149688787,5.8,2,0.438
188,188,8,B2 LM,SHRIMPLIN,2887.0,34.54,5.0,4.365,169.82436524617444,5.7,2,0.375
189,189,8,B2 LM,SHRIMPLIN,2887.5,42.34,5.3,4.4,134.27649611378655,5.7,2,0.313
190,190,8,B2 LM,SHRIMPLIN,2888.0,44.21,5.5,4.86,103.75284158180126,5.5,2,0.25
191,191,6,B2 LM,SHRIMPLIN,2888.5,44.15,4.1,5.47,76.91304402866095,5.6,2,0.188
192,192,6,B2 LM,SHRIMPLIN,2889.0,39.25,3.9,5.905,57.543993733715666,5.6,2,0.125
193,193,6,B2 LM,SHRIMPLIN,2889.5,38.37,5.7,7.13,42.072662838444415,5.4,2,0.063
194,194,2,B3 SH,SHRIMPLIN,2890.0,60.63,9.1,9.33,30.199517204020175,4.7,1,1.0
195,195,2,B3 SH,SHRIMPLIN,2890.5,83.69,12.4,11.31,23.334580622810044,4.0,1,0.967
196,196,2,B3 SH,SHRIMPLIN,2891.0,87.3,13.7,11.975,19.76969640111861,3.6,1,0.933
197,197,2,B3 SH,SHRIMPLIN,2891.5,89.07,13.7,12.065,17.298163592151013,3.6,1,0.9
198,198,2,B3 SH,SHRIMPLIN,2892.0,91.06,12.9,12.21,14.723125024327194,3.7,1,0.867
199,199,2,B3 SH,SHRIMPLIN,2892.5,98.37,12.0,12.485,13.121998990192028,3.7,1,0.833
200,200,2,B3 SH,SHRIMPLIN,2893.0,87.1,11.3,12.23,12.473835142429426,3.7,1,0.8
201,201,2,B3 SH,SHRIMPLIN,2893.5,83.81,10.9,11.67,12.133888504649775,3.5,1,0.767
202,202,2,B3 SH,SHRIMPLIN,2894.0,83.11,10.4,11.96,11.748975549395297,3.4,1,0.733
203,203,2,B3 SH,SHRIMPLIN,2894.5,85.4,11.1,13.05,11.428783347897712,3.3,1,0.7
204,204,2,B3 SH,SHRIMPLIN,2895.0,86.83,11.5,13.735,11.168632477805613,3.3,1,0.667
205,205,2,B3 SH,SHRIMPLIN,2895.5,80.54,11.2,13.6,10.71519305237606,3.3,1,0.633
206,206,2,B3 SH,SHRIMPLIN,2896.0,77.67,10.3,12.905,10.046157902783957,3.2,1,0.6
207,207,2,B3 SH,SHRIMPLIN,2896.5,74.74,8.9,12.575,9.50604793656281,3.3,1,0.5670000000000001
208,208,2,B3 SH,SHRIMPLIN,2897.0,75.06,8.8,12.305,9.16220490122,3.2,1,0.5329999999999999
209,209,2,B3 SH,SHRIMPLIN,2897.5,76.98,8.3,12.35,8.994975815300355,3.2,1,0.5
210,210,2,B3 SH,SHRIMPLIN,2898.0,79.6,8.5,12.855,8.749837752274363,3.2,1,0.467
211,211,2,B3 SH,SHRIMPLIN,2898.5,92.95,8.6,14.3,8.590135215053959,3.3,1,0.433
212,212,2,B3 SH,SHRIMPLIN,2899.0,94.25,9.0,14.21,8.590135215053959,3.3,1,0.4
213,213,2,B3 SH,SHRIMPLIN,2899.5,83.12,9.1,13.64,8.590135215053959,3.3,1,0.3670000000000001
214,214,2,B3 SH,SHRIMPLIN,2900.0,75.02,9.2,12.5,8.749837752274363,3.4,1,0.333
215,215,2,B3 SH,SHRIMPLIN,2900.5,62.61,8.7,11.92,9.120108393559097,3.3,1,0.3
216,216,2,B3 SH,SHRIMPLIN,2901.0,68.47,8.2,11.635,9.418895965228414,3.3,1,0.267
217,217,2,B3 SH,SHRIMPLIN,2901.5,69.58,7.3,11.265,9.289663867799362,3.3,1,0.233
218,218,2,B3 SH,SHRIMPLIN,2902.0,76.05,7.5,11.375,9.078205301781859,3.5,1,0.2
219,219,2,B3 SH,SHRIMPLIN,2902.5,89.53,8.4,12.285,8.749837752274363,3.5,1,0.16699999999999998
220,220,3,B3 SH,SHRIMPLIN,2903.0,97.25,9.1,15.135,8.472274141405963,3.5,1,0.133
221,221,3,B3 SH,SHRIMPLIN,2903.5,95.12,8.1,21.93,8.871560120379604,3.5,1,0.1
222,222,3,B3 SH,SHRIMPLIN,2904.0,91.67,6.4,26.715,10.046157902783957,3.3,1,0.067
223,223,3,B3 SH,SHRIMPLIN,2904.5,85.15,3.7,25.875,11.015393095414145,3.2,1,0.033
224,224,8,B3 LM,SHRIMPLIN,2905.0,65.17,2.5,18.92,11.694993910198711,3.2,2,1.0
225,225,8,B3 LM,SHRIMPLIN,2905.5,32.9,2.3,12.215,12.416523075924113,3.7,2,0.917
226,226,8,B3 LM,SHRIMPLIN,2906.0,19.92,1.9,10.63,12.531411749414156,4.8,2,0.833
227,227,8,B3 LM,SHRIMPLIN,2906.5,14.52,2.4,11.06,12.531411749414156,5.2,2,0.75
228,228,8,B3 LM,SHRIMPLIN,2907.0,14.75,3.5,12.15,13.061708881318419,5.4,2,0.667
229,229,8,B3 LM,SHRIMPLIN,2907.5,15.01,3.9,13.16,13.489628825916533,5.2,2,0.583
230,230,8,B3 LM,SHRIMPLIN,2908.0,15.68,3.7,14.02,13.182567385564074,5.2,2,0.5
231,231,8,B3 LM,SHRIMPLIN,2908.5,16.96,3.0,14.255,12.589254117941675,5.3,2,0.417
232,232,8,B3 LM,SHRIMPLIN,2909.0,15.78,3.1,12.705,11.694993910198711,5.5,2,0.333
233,233,8,B3 LM,SHRIMPLIN,2909.5,15.71,3.9,11.095,10.32761405761397,5.7,2,0.25
234,234,8,B3 LM,SHRIMPLIN,2910.0,17.29,3.6,10.225,9.289663867799362,5.7,2,0.16699999999999998
235,235,8,B3 LM,SHRIMPLIN,2910.5,25.4,3.5,10.81,8.95364765549594,5.6,2,0.083
236,236,2,B4 SH,SHRIMPLIN,2911.0,54.3,5.7,11.865,9.120108393559097,5.1,1,1.0
237,237,2,B4 SH,SHRIMPLIN,2911.5,77.86,8.0,11.795,9.68277856261249,4.0,1,0.966
238,238,2,B4 SH,SHRIMPLIN,2912.0,81.08,8.6,11.345,9.817479430199844,3.6,1,0.931
239,239,2,B4 SH,SHRIMPLIN,2912.5,64.84,6.8,10.6,9.50604793656281,3.3,1,0.897
